TIMESTAMP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,EXPIRY_DT,OPEN_INT,CONTRACTS
2011-01-17,303.0,305.3,300.65,301.6,301.6,2011-01-27,13240000.0,2549.0
2011-01-18,302.85,304.45,300.15,302.75,302.75,2011-01-27,13225000.0,1734.0
2011-01-19,303.8,304.0,297.65,299.15,299.15,2011-01-27,13126000.0,3517.0
2011-01-20,297.95,301.4,296.85,300.15,300.15,2011-01-27,13240000.0,3214.0
2011-01-21,299.7,300.15,296.1,297.5,297.5,2011-01-27,11672000.0,3366.0
2011-01-24,297.0,301.6,295.25,296.95,296.95,2011-01-27,8327000.0,6545.0
2011-01-25,298.0,302.4,280.3,281.65,281.65,2011-01-27,5008000.0,13538.0
2011-01-27,282.5,282.5,270.6,271.3,271.3,2011-02-24,15256000.0,8243.0
2011-01-28,270.1,276.4,267.5,273.7,273.7,2011-02-24,14562000.0,5414.0
2011-01-31,270.95,277.5,266.8,271.3,271.3,2011-02-24,14774000.0,3601.0
2011-02-01,272.7,272.85,266.8,269.75,269.75,2011-02-24,14881000.0,2400.0
2011-02-02,270.75,276.4,269.15,274.3,274.3,2011-02-24,14768000.0,3237.0
2011-02-03,274.0,281.7,273.4,278.55,278.55,2011-02-24,14762000.0,3072.0
2011-02-04,277.9,279.0,270.6,271.9,271.9,2011-02-24,15603000.0,3412.0
2011-02-07,275.0,276.25,270.6,273.85,273.85,2011-02-24,15967000.0,1876.0
2011-02-08,274.35,275.95,270.2,272.75,272.75,2011-02-24,16019000.0,1665.0
2011-02-09,272.0,277.6,269.7,276.1,276.1,2011-02-24,15590000.0,3132.0
2011-02-10,275.8,277.65,267.5,271.05,271.05,2011-02-24,15507000.0,3268.0
2011-02-11,271.2,273.4,267.55,268.4,268.4,2011-02-24,16148000.0,2512.0
2011-02-14,269.75,273.4,265.3,272.8,272.8,2011-02-24,16002000.0,2236.0
2011-02-15,272.0,275.5,271.8,272.75,272.75,2011-02-24,16202000.0,2002.0
2011-02-16,273.0,275.85,272.3,275.15,275.15,2011-02-24,16364000.0,1533.0
2011-02-17,276.0,276.0,272.5,273.6,273.6,2011-02-24,16326000.0,1476.0
2011-02-18,274.25,281.3,272.75,277.8,277.8,2011-02-24,16128000.0,5185.0
2011-02-21,279.45,281.85,277.1,280.85,280.85,2011-02-24,14412000.0,3905.0
2011-02-22,278.45,280.85,275.6,279.15,279.15,2011-02-24,10453000.0,6939.0
2011-02-23,278.9,281.8,277.8,279.95,279.95,2011-02-24,4408000.0,9456.0
2011-02-24,277.85,279.8,270.9,274.4,274.4,2011-03-31,16030000.0,6179.0
2011-02-25,274.1,278.0,268.5,276.95,276.95,2011-03-31,16444000.0,3582.0
2011-02-28,275.1,289.35,275.1,281.2,281.2,2011-03-31,16822000.0,4145.0
2011-03-01,281.1,286.5,281.0,285.55,285.55,2011-03-31,16817000.0,2669.0
2011-03-03,285.0,290.5,284.95,287.75,287.75,2011-03-31,17235000.0,2962.0
2011-03-04,288.3,288.9,282.25,284.05,284.05,2011-03-31,17753000.0,1789.0
2011-03-07,283.75,285.7,278.15,281.0,281.0,2011-03-31,17606000.0,2431.0
2011-03-08,281.95,284.6,280.25,281.45,281.45,2011-03-31,17349000.0,1169.0
2011-03-09,282.4,283.5,278.2,279.55,279.55,2011-03-31,17326000.0,1681.0
